id,produit,nom,premier_mot,genre,nombre,dernière lettre
257,244,Bêche,Bêche,féminin,singulier,e
258,244,Bédane,Bédane,féminin,singulier,e
1939,452,béquilles,béquilles,féminin,pluriel,s
1066,398,Béret,Béret,masculin,singulier,t
49,364,Bermuda,Bermuda,masculin,singulier,a
1477,41,Béton,Béton,masculin,singulier,n
753,42,Biberon,Biberon,masculin,singulier,n
754,42,Biberon en plastique,Biberon,masculin,singulier,n
1668,225,Bibliothèque,Bibliothèque,féminin,singulier,e
1691,225,Bibus,Bibus,masculin,singulier,s
578,194,Bicyclette enfant (jouet),Bicyclette,féminin,singulier,e
1637,358,Bicyclette,Bicyclette,féminin,singulier,e
144,147,Bidon de combustible chauffage,Bidon,masculin,singulier,n
751,43,Bidon d'huile,Bidon,masculin,singulier,n
752,43,Bidon d'huile de moteur (ou de lubrifiant) vide,Bidon,masculin,singulier,n
804,171,Bidon en métal,Bidon,masculin,singulier,n
806,170,Bidon en plastique,Bidon,masculin,singulier,n
807,170,Bidon de pétrole,Bidon,masculin,singulier,n
816,168,Bigorneaux,Bigorneaux,masculin,pluriel,x
658,44,Bijou fantaisie (accessoires de mode),Bijou,masculin,singulier,u
894,285,Biocides,Biocides,masculin,pluriel,s
1343,124,Biodéchets,Biodéchets,masculin,pluriel,s
259,244,Bisaigue,Bisaigue,féminin,singulier,e
208,164,Blanco,Blanco,masculin,singulier,o
20,265,Blender,Blender,masculin,singulier,r
1332,457,Blister de médicament (vide),Blister,masculin,singulier,r
1772,225,Bloc tiroir,Bloc,masculin,singulier,c
1908,225,Bloc de classement à tiroirs,Bloc,masculin,singulier,c
1047,78,Bloc-notes,Bloc-notes,masculin,singulier,s
1209,122,Blouse,Blouse,féminin,singulier,e
1931,23,Blouson en cuir,Blouson,masculin,singulier,n
497,92,Blu-ray,Blu-ray,masculin,singulier,y
1262,110,Blush,Blush,masculin,singulier,h
1538,369,BMX,BMX,masculin,singulier,X
655,45,Bocal ou pot en verre (alimentaire),Bocal,masculin,singulier,l
1226,431,Bocal réemployable,Bocal,masculin,singulier,l
1228,431,Bocal consigné,Bocal,masculin,singulier,l
